latitud,longitud,tipo_bosque,especie,altura,DAP,m_st,biomasa,densidad,temperatura,precipitacion
3.65,113.7,TropRF,Alstonia sp.,3.48,0.03,1.34381,1.55501,380.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Dillenia suffruticosa,4.8,0.0304,1.23518,1.46976,450.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Endospermum diadenum,7.3,0.0465,2.78282,3.04998,340.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Endospermum diadenum,2.18,0.02,0.14646,0.19533,340.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Endospermum diadenum,2.85,0.0133,0.11448,0.14294,340.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Endospermum diadenum,1.49,0.0068,0.03862,0.05478,340.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Endospermum diadenum,1.72,0.0053,0.0165,0.02085,340.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,11.6,0.1306,50.6171,53.94994,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,9.0,0.0955,20.6902,22.68266,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,8.6,0.0573,7.92245,8.47309,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,8.0,0.0381,3.49939,3.57909,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,4.8,0.0318,1.38814,1.39901,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,4.2,0.0278,1.29842,1.72227,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,5.4,0.0242,1.16646,1.28601,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,2.3,0.0205,0.31141,0.37662,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,3.5,0.0191,0.41169,0.57471,450.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Glochidion sp.,3.0,0.0147,0.35363,0.43333,450.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Macaranga bancana,13.7,0.1282,40.83417,43.04967,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,7.2,0.0508,3.36867,4.3461,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,5.2,0.0347,1.04966,1.1474,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,5.47,0.0307,0.7665,0.81211,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,3.25,0.0237,0.25826,0.32016,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,2.34,0.0175,0.06204,0.09082,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,1.78,0.0158,0.04997,0.09137,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,1.94,0.0158,0.04141,0.07495,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,2.33,0.0155,0.05199,0.07384,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,2.96,0.013,0.10252,0.12207,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,1.39,0.013,0.02708,0.04843,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,1.38,0.0116,0.0204,0.03938,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga bancana,1.47,0.0082,0.01086,0.01426,310.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga beccariana,13.85,0.103,20.28527,21.45818,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga beccariana,8.5,0.0591,4.24746,4.89908,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga beccariana,7.5,0.0446,1.7771,2.13549,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga beccariana,5.2,0.0307,1.70875,1.97591,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga beccariana,1.7,0.01,0.0415,0.06431,290.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Macaranga gigantea,20.9,0.2866,304.01931,314.27141,290.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,17.0,0.2043,107.33373,118.19947,290.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Macaranga gigantea,21.4,0.2325,178.92803,183.63747,290.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga gigantea,22.0,0.2197,170.21914,175.29085,290.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga gigantea,18.6,0.1815,93.68651,97.01935,290.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga gigantea,12.4,0.121,34.09661,37.5019,290.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga gigantea,8.7,0.1051,17.8928,19.95771,290.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga gigantea,10.6,0.0955,15.0954,16.21842,290.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga gigantea,10.0,0.0732,10.02841,10.4269,290.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,7.7,0.0596,7.71377,8.49245,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,8.0,0.0593,6.95704,7.73898,290.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Macaranga gigantea,6.8,0.0637,4.01137,4.40986,290.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,5.45,0.0462,3.12457,3.77619,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,4.4,0.043,1.78198,2.11431,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,5.04,0.0403,1.65993,1.90429,290.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Macaranga gigantea,4.3,0.035,1.21397,1.46756,290.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,4.87,0.0323,1.39141,1.7107,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,2.35,0.0194,0.23922,0.30764,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,2.2,0.0178,0.23922,0.28809,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,1.57,0.0167,0.20505,0.35818,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,2.4,0.013,0.13182,0.17418,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,1.82,0.0087,0.07323,0.10907,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga gigantea,1.64,0.0082,0.02441,0.05699,290.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Macaranga hosei,23.0,0.2325,174.17773,180.6985,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,22.0,0.2134,160.34907,165.78304,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,22.0,0.1911,110.73481,113.37934,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,21.9,0.1592,85.98046,88.7699,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,13.2,0.1083,24.38488,25.65281,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,13.3,0.1019,21.5347,22.69395,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,19.1,0.1019,32.30205,33.17149,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,11.8,0.0796,11.87575,12.12934,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,13.3,0.0764,9.28948,9.50684,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,9.1,0.0605,4.53918,4.64786,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hosei,9.5,0.0573,5.85871,5.96739,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hypoleuca,11.2,0.0955,14.93706,16.34989,310.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hypoleuca,10.4,0.0796,11.98132,13.21302,310.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hypoleuca,11.0,0.0701,8.55054,9.20262,310.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Macaranga hypoleuca,3.6,0.0215,0.40747,0.51253,310.0,26.99595832824707,3298.0
4.233333333,114.0666667,TropRF,Macaranga hosei,3.26,0.017,0.20261,0.2303,290.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga trachyphylla,7.3,0.0446,4.78449,5.05817,390.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga trachyphylla,6.57,0.0334,1.07407,1.11317,390.0,26.916915893554688,3104.0
4.233333333,114.0666667,TropRF,Macaranga winkleri,6.26,0.0451,1.53299,1.80993,390.0,26.916915893554688,3104.0
3.65,113.7,TropRF,Macaranga winkleri,3.83,0.0245,1.46431,1.67345,390.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Mallotus sp.,2.62,0.022,0.44125,0.50827,530.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Mallotus sp.,3.85,0.018,0.32144,0.36636,530.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Mallotus sp.,2.43,0.011,0.10609,0.13181,530.0,26.99595832824707,3298.0
3.65,113.7,TropRF,Mallotus sp.,1.52,0.0035,0.01689,0.01816,530.0,26.99595832824707,3298.0
